episode,pretrain_0_2x_seed0,pretrain_0_2x_seed1,pretrain_0_2x_seed2,pretrain_0_2x_seed3,pretrain_0_2x_seed4,pretrain_20_2x_seed0,pretrain_20_2x_seed1,pretrain_20_2x_seed2,pretrain_20_2x_seed3,pretrain_20_2x_seed4,pretrain_40_2x_seed0,pretrain_40_2x_seed1,pretrain_40_2x_seed2,pretrain_40_2x_seed3,pretrain_40_2x_seed4,pretrain_60_2x_seed0,pretrain_60_2x_seed1,pretrain_60_2x_seed2,pretrain_60_2x_seed3,pretrain_60_2x_seed4,pretrain_80_2x_seed0,pretrain_80_2x_seed1,pretrain_80_2x_seed2,pretrain_80_2x_seed3,pretrain_80_2x_seed4,pretrain_100_2x_seed0,pretrain_100_2x_seed1,pretrain_100_2x_seed2,pretrain_100_2x_seed3,pretrain_100_2x_seed4
0,0.130000,0.165000,0.165000,0.165000,0.120000,0.080000,0.095000,0.060000,0.095000,0.130000,0.245000,0.255000,0.285000,0.320000,0.365000,0.190000,0.250000,0.230000,0.250000,0.285000,0.365000,0.405000,0.395000,0.465000,0.455000,0.915000,0.930000,0.970000,0.945000,0.960000
100,0.300000,0.280000,0.290000,0.230000,0.150000,0.170000,0.130000,0.185000,0.120000,0.140000,0.540000,0.410000,0.665000,0.640000,0.700000,0.350000,0.445000,0.310000,0.585000,0.595000,0.930000,0.780000,0.630000,0.545000,0.860000,0.975000,0.960000,0.530000,0.385000,0.970000
200,0.445000,0.460000,0.355000,0.345000,0.155000,0.175000,0.240000,0.390000,0.220000,0.240000,0.655000,0.385000,0.900000,0.840000,0.900000,0.550000,0.825000,0.600000,0.780000,0.835000,0.965000,0.945000,0.970000,0.840000,0.885000,0.120000,0.990000,0.855000,0.945000,1.000000
300,0.560000,0.625000,0.320000,0.530000,0.200000,0.475000,0.540000,0.670000,0.375000,0.465000,0.855000,0.675000,0.975000,0.920000,0.960000,0.760000,0.925000,0.865000,0.865000,0.950000,0.985000,0.935000,0.995000,0.860000,0.940000,0.650000,,0.985000,0.960000,
400,0.730000,0.825000,0.525000,0.665000,0.210000,0.705000,0.745000,0.880000,0.760000,0.655000,0.950000,0.935000,0.980000,0.955000,0.970000,0.945000,0.915000,0.955000,0.955000,0.980000,0.995000,0.965000,,0.950000,0.985000,0.975000,,0.990000,0.940000,
500,0.845000,0.915000,0.655000,0.805000,0.300000,0.925000,0.870000,0.865000,0.880000,0.895000,0.950000,0.960000,0.965000,0.995000,0.985000,0.955000,0.945000,0.975000,0.970000,0.975000,,0.965000,,0.990000,0.985000,0.980000,,,0.990000,
600,0.945000,0.950000,0.875000,0.940000,0.305000,0.935000,0.925000,0.975000,0.940000,0.935000,0.960000,0.950000,0.995000,,0.970000,0.975000,0.985000,0.985000,0.980000,0.920000,,0.985000,,,0.990000,1.000000,,,,
700,0.970000,0.975000,0.965000,0.960000,0.460000,0.965000,0.950000,0.975000,0.980000,0.960000,0.985000,0.990000,,,0.985000,0.975000,0.975000,0.980000,1.000000,0.970000,,1.000000,,,,,,,,
800,0.995000,0.975000,0.965000,0.975000,0.545000,0.965000,0.970000,0.985000,0.955000,0.955000,0.985000,,,,0.965000,1.000000,0.990000,0.975000,,0.980000,,,,,,,,,,
900,,0.995000,0.975000,0.980000,0.745000,0.930000,0.955000,0.985000,0.975000,0.980000,0.975000,,,,0.980000,,,0.990000,,0.995000,,,,,,,,,,
1000,,,0.975000,0.970000,0.875000,0.955000,0.985000,0.990000,0.985000,0.970000,0.995000,,,,0.990000,,,,,,,,,,,,,,,
1100,,,0.975000,0.995000,0.945000,0.985000,0.950000,,0.985000,0.965000,,,,,,,,,,,,,,,,,,,,
1200,,,0.980000,,0.965000,0.995000,0.975000,,0.960000,0.940000,,,,,,,,,,,,,,,,,,,,
1300,,,1.000000,,0.960000,,0.985000,,0.990000,0.970000,,,,,,,,,,,,,,,,,,,,
1400,,,,,1.000000,,0.995000,,,0.970000,,,,,,,,,,,,,,,,,,,,
1500,,,,,,,,,,0.990000,,,,,,,,,,,,,,,,,,,,
