episode,pretrain_0_half_seed0,pretrain_0_half_seed1,pretrain_0_half_seed2,pretrain_0_half_seed3,pretrain_0_half_seed4,pretrain_20_half_seed0,pretrain_20_half_seed1,pretrain_20_half_seed2,pretrain_20_half_seed3,pretrain_20_half_seed4,pretrain_40_half_seed0,pretrain_40_half_seed1,pretrain_40_half_seed2,pretrain_40_half_seed3,pretrain_40_half_seed4,pretrain_60_half_seed0,pretrain_60_half_seed1,pretrain_60_half_seed2,pretrain_60_half_seed3,pretrain_60_half_seed4,pretrain_80_half_seed0,pretrain_80_half_seed1,pretrain_80_half_seed2,pretrain_80_half_seed3,pretrain_80_half_seed4,pretrain_100_half_seed0,pretrain_100_half_seed1,pretrain_100_half_seed2,pretrain_100_half_seed3,pretrain_100_half_seed4
0,0.215000,0.220000,0.205000,0.205000,0.270000,0.100000,0.110000,0.100000,0.135000,0.095000,0.080000,0.170000,0.135000,0.120000,0.145000,0.100000,0.115000,0.130000,0.150000,0.165000,0.055000,0.055000,0.080000,0.075000,0.120000,0.250000,0.280000,0.215000,0.305000,0.325000
100,0.265000,0.215000,0.235000,0.260000,0.275000,0.160000,0.170000,0.150000,0.160000,0.150000,0.165000,0.250000,0.210000,0.190000,0.155000,0.255000,0.245000,0.250000,0.165000,0.245000,0.230000,0.270000,0.175000,0.235000,0.250000,0.545000,0.495000,0.485000,0.430000,0.480000
200,0.255000,0.265000,0.235000,0.265000,0.280000,0.170000,0.255000,0.250000,0.270000,0.325000,0.090000,0.295000,0.325000,0.300000,0.230000,0.355000,0.375000,0.340000,0.325000,0.475000,0.295000,0.455000,0.310000,0.505000,0.490000,0.730000,0.730000,0.670000,0.675000,0.675000
300,0.365000,0.310000,0.255000,0.330000,0.340000,0.360000,0.470000,0.385000,0.425000,0.465000,0.155000,0.455000,0.490000,0.385000,0.395000,0.660000,0.650000,0.560000,0.580000,0.655000,0.630000,0.735000,0.605000,0.705000,0.700000,0.880000,0.860000,0.805000,0.865000,0.835000
400,0.455000,0.380000,0.445000,0.495000,0.410000,0.485000,0.585000,0.590000,0.570000,0.635000,0.260000,0.655000,0.615000,0.560000,0.595000,0.770000,0.735000,0.740000,0.730000,0.815000,0.790000,0.825000,0.755000,0.825000,0.895000,0.935000,0.900000,0.875000,0.900000,0.890000
500,0.645000,0.510000,0.525000,0.625000,0.495000,0.620000,0.685000,0.740000,0.670000,0.770000,0.270000,0.690000,0.760000,0.760000,0.775000,0.900000,0.835000,0.840000,0.805000,0.870000,0.920000,0.895000,0.895000,0.870000,0.900000,0.915000,0.905000,0.930000,0.955000,0.935000
600,0.745000,0.585000,0.570000,0.735000,0.560000,0.770000,0.840000,0.815000,0.805000,0.800000,0.375000,0.765000,0.845000,0.815000,0.885000,0.900000,0.910000,0.915000,0.875000,0.910000,0.950000,0.865000,0.930000,0.905000,0.920000,0.940000,0.960000,0.965000,0.915000,0.935000
700,0.885000,0.780000,0.665000,0.825000,0.540000,0.800000,0.855000,0.850000,0.880000,0.830000,0.365000,0.840000,0.875000,0.880000,0.915000,0.910000,0.900000,0.965000,0.900000,0.880000,0.865000,0.925000,0.960000,0.945000,0.950000,0.940000,0.935000,0.940000,0.940000,0.955000
800,0.890000,0.815000,0.795000,0.865000,0.635000,0.835000,0.915000,0.915000,0.875000,0.840000,0.605000,0.890000,0.900000,0.940000,0.885000,0.940000,0.930000,0.935000,0.885000,0.945000,0.960000,0.960000,0.950000,0.980000,0.975000,0.960000,0.975000,0.955000,0.955000,0.945000
900,0.920000,0.865000,0.805000,0.910000,0.725000,0.935000,0.870000,0.895000,0.885000,0.865000,0.760000,0.900000,0.925000,0.940000,0.875000,0.945000,0.905000,0.945000,0.935000,0.965000,0.965000,0.920000,0.960000,0.935000,0.975000,0.930000,0.950000,0.960000,0.930000,0.965000
1000,0.945000,0.850000,0.870000,0.905000,0.810000,0.905000,0.925000,0.885000,0.900000,0.905000,0.895000,0.920000,0.935000,0.900000,0.910000,0.935000,0.960000,0.950000,0.940000,0.955000,0.940000,0.935000,0.965000,0.950000,0.970000,0.950000,0.970000,0.960000,0.975000,0.965000
1100,0.945000,0.895000,0.925000,0.925000,0.835000,0.925000,0.925000,0.870000,0.915000,0.915000,0.895000,0.965000,0.935000,0.955000,0.940000,0.955000,0.955000,0.970000,0.955000,0.970000,0.960000,0.950000,0.975000,0.985000,0.965000,0.955000,0.975000,0.955000,0.965000,0.975000
1200,0.955000,0.900000,0.870000,0.970000,0.900000,0.900000,0.925000,0.935000,0.945000,0.905000,0.895000,0.945000,0.935000,0.950000,0.925000,0.975000,0.930000,0.955000,0.940000,0.950000,0.975000,0.945000,0.975000,0.930000,0.955000,0.985000,0.965000,0.965000,0.940000,0.960000
1300,0.930000,0.900000,0.915000,0.950000,0.850000,0.930000,0.930000,0.915000,0.960000,0.930000,0.955000,0.955000,0.945000,0.930000,0.950000,0.970000,0.945000,0.965000,0.970000,0.955000,0.975000,0.955000,0.975000,0.970000,0.960000,0.980000,0.995000,0.980000,0.965000,0.970000
1400,0.950000,0.925000,0.950000,0.965000,0.875000,0.915000,0.960000,0.910000,0.940000,0.945000,0.945000,0.950000,0.955000,0.940000,0.955000,0.995000,0.980000,0.970000,0.980000,0.965000,0.990000,0.980000,0.980000,0.960000,0.975000,0.960000,,0.975000,0.955000,0.975000
