run_name,pretrain_steps,seed,model_hidden_dim,model_heads,model_depth,threshold,episodes_to_target,pretrain_policy_loss,pretrain_value_loss,pretrain_accuracy
pretrain_0_half-seed0,0,0,96,3,2,0.8,700,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed0,0,0,96,3,2,0.9,900,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed0,0,0,96,3,2,0.97,1700,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed0,0,0,96,3,2,0.99,1800,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed1,0,1,96,3,2,0.8,800,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed1,0,1,96,3,2,0.9,1200,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed1,0,1,96,3,2,0.97,1800,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed1,0,1,96,3,2,0.99,3200,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed2,0,2,96,3,2,0.8,900,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed2,0,2,96,3,2,0.9,1100,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed2,0,2,96,3,2,0.97,2000,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed2,0,2,96,3,2,0.99,2000,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed3,0,3,96,3,2,0.8,700,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed3,0,3,96,3,2,0.9,900,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed3,0,3,96,3,2,0.97,1200,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed3,0,3,96,3,2,0.99,2600,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed4,0,4,96,3,2,0.8,1000,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed4,0,4,96,3,2,0.9,1200,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed4,0,4,96,3,2,0.97,1700,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_0_half-seed4,0,4,96,3,2,0.99,3200,2.193770302856016,0.5849481446004552,0.20947315096251268
pretrain_20_half-seed0,20,0,96,3,2,0.8,700,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed0,20,0,96,3,2,0.9,900,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed0,20,0,96,3,2,0.97,2000,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed0,20,0,96,3,2,0.99,3300,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed1,20,1,96,3,2,0.8,600,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed1,20,1,96,3,2,0.9,800,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed1,20,1,96,3,2,0.97,1900,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed1,20,1,96,3,2,0.99,2400,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed2,20,2,96,3,2,0.8,600,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed2,20,2,96,3,2,0.9,800,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed2,20,2,96,3,2,0.97,1700,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed2,20,2,96,3,2,0.99,3700,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed3,20,3,96,3,2,0.8,600,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed3,20,3,96,3,2,0.9,1000,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed3,20,3,96,3,2,0.97,2400,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed3,20,3,96,3,2,0.99,3100,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed4,20,4,96,3,2,0.8,600,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed4,20,4,96,3,2,0.9,1000,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed4,20,4,96,3,2,0.97,1600,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_20_half-seed4,20,4,96,3,2,0.99,2700,0.6257025640082875,0.06371598471347066,0.779113773168842
pretrain_40_half-seed0,40,0,96,3,2,0.8,1000,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed0,40,0,96,3,2,0.9,1300,0.2613553732013708,0.04431357198082951,0.905000297991537
pretrain_40_half-seed0,40,0,96,3,2,0.97,2000,0.2613553732013708,0.04431357198082951,0.905000297991537
