run_name,pretrain_steps,seed,model_hidden_dim,model_heads,model_depth,episode,win_rate,draw_rate
pretrain_0_1x-seed0,0,0,128,4,2,0,0.0,0.19
pretrain_0_1x-seed0,0,0,128,4,2,100,0.0,0.26
pretrain_0_1x-seed0,0,0,128,4,2,200,0.0,0.245
pretrain_0_1x-seed0,0,0,128,4,2,300,0.0,0.47
pretrain_0_1x-seed0,0,0,128,4,2,400,0.0,0.48
pretrain_0_1x-seed0,0,0,128,4,2,500,0.0,0.69
pretrain_0_1x-seed0,0,0,128,4,2,600,0.0,0.79
pretrain_0_1x-seed0,0,0,128,4,2,700,0.0,0.88
pretrain_0_1x-seed0,0,0,128,4,2,800,0.0,0.915
pretrain_0_1x-seed0,0,0,128,4,2,900,0.0,0.95
pretrain_0_1x-seed0,0,0,128,4,2,1000,0.0,0.96
pretrain_0_1x-seed0,0,0,128,4,2,1100,0.0,0.955
pretrain_0_1x-seed0,0,0,128,4,2,1200,0.0,0.94
pretrain_0_1x-seed0,0,0,128,4,2,1300,0.0,0.975
pretrain_0_1x-seed0,0,0,128,4,2,1400,0.0,0.96
pretrain_0_1x-seed0,0,0,128,4,2,1500,0.0,0.975
pretrain_0_1x-seed0,0,0,128,4,2,1600,0.0,0.97
pretrain_0_1x-seed0,0,0,128,4,2,1700,0.0,0.995
pretrain_0_1x-seed1,0,1,128,4,2,0,0.0,0.18
pretrain_0_1x-seed1,0,1,128,4,2,100,0.0,0.175
pretrain_0_1x-seed1,0,1,128,4,2,200,0.0,0.23
pretrain_0_1x-seed1,0,1,128,4,2,300,0.0,0.27
pretrain_0_1x-seed1,0,1,128,4,2,400,0.0,0.3
pretrain_0_1x-seed1,0,1,128,4,2,500,0.0,0.445
pretrain_0_1x-seed1,0,1,128,4,2,600,0.0,0.56
pretrain_0_1x-seed1,0,1,128,4,2,700,0.0,0.67
pretrain_0_1x-seed1,0,1,128,4,2,800,0.0,0.75
pretrain_0_1x-seed1,0,1,128,4,2,900,0.0,0.88
pretrain_0_1x-seed1,0,1,128,4,2,1000,0.0,0.9
pretrain_0_1x-seed1,0,1,128,4,2,1100,0.0,0.925
pretrain_0_1x-seed1,0,1,128,4,2,1200,0.0,0.95
pretrain_0_1x-seed1,0,1,128,4,2,1300,0.0,0.94
pretrain_0_1x-seed1,0,1,128,4,2,1400,0.0,0.965
pretrain_0_1x-seed1,0,1,128,4,2,1500,0.0,0.94
pretrain_0_1x-seed1,0,1,128,4,2,1600,0.0,0.99
pretrain_0_1x-seed2,0,2,128,4,2,0,0.0,0.2
pretrain_0_1x-seed2,0,2,128,4,2,100,0.0,0.225
pretrain_0_1x-seed2,0,2,128,4,2,200,0.0,0.2
pretrain_0_1x-seed2,0,2,128,4,2,300,0.0,0.37
pretrain_0_1x-seed2,0,2,128,4,2,400,0.0,0.455
pretrain_0_1x-seed2,0,2,128,4,2,500,0.0,0.56
pretrain_0_1x-seed2,0,2,128,4,2,600,0.0,0.7
pretrain_0_1x-seed2,0,2,128,4,2,700,0.0,0.855
pretrain_0_1x-seed2,0,2,128,4,2,800,0.0,0.91
pretrain_0_1x-seed2,0,2,128,4,2,900,0.0,0.955
pretrain_0_1x-seed2,0,2,128,4,2,1000,0.0,0.97
pretrain_0_1x-seed2,0,2,128,4,2,1100,0.0,0.945
pretrain_0_1x-seed2,0,2,128,4,2,1200,0.0,0.95
pretrain_0_1x-seed2,0,2,128,4,2,1300,0.0,0.965
pretrain_0_1x-seed2,0,2,128,4,2,1400,0.0,0.97
pretrain_0_1x-seed2,0,2,128,4,2,1500,0.0,0.975
pretrain_0_1x-seed2,0,2,128,4,2,1600,0.0,0.99
pretrain_0_1x-seed3,0,3,128,4,2,0,0.0,0.225
pretrain_0_1x-seed3,0,3,128,4,2,100,0.0,0.23
pretrain_0_1x-seed3,0,3,128,4,2,200,0.0,0.265
pretrain_0_1x-seed3,0,3,128,4,2,300,0.0,0.29
pretrain_0_1x-seed3,0,3,128,4,2,400,0.0,0.39
pretrain_0_1x-seed3,0,3,128,4,2,500,0.0,0.515
pretrain_0_1x-seed3,0,3,128,4,2,600,0.0,0.66
pretrain_0_1x-seed3,0,3,128,4,2,700,0.0,0.805
pretrain_0_1x-seed3,0,3,128,4,2,800,0.0,0.885
pretrain_0_1x-seed3,0,3,128,4,2,900,0.0,0.9
pretrain_0_1x-seed3,0,3,128,4,2,1000,0.0,0.93
pretrain_0_1x-seed3,0,3,128,4,2,1100,0.0,0.955
pretrain_0_1x-seed3,0,3,128,4,2,1200,0.0,0.975
pretrain_0_1x-seed3,0,3,128,4,2,1300,0.0,0.955
