run_name,pretrain_steps,seed,model_hidden_dim,model_heads,model_depth,episode,win_rate,draw_rate
pretrain_0_double-seed0,0,0,192,6,2,0,0.0,0.13
pretrain_0_double-seed0,0,0,192,6,2,100,0.0,0.3
pretrain_0_double-seed0,0,0,192,6,2,200,0.0,0.445
pretrain_0_double-seed0,0,0,192,6,2,300,0.0,0.56
pretrain_0_double-seed0,0,0,192,6,2,400,0.0,0.73
pretrain_0_double-seed0,0,0,192,6,2,500,0.0,0.845
pretrain_0_double-seed0,0,0,192,6,2,600,0.0,0.945
pretrain_0_double-seed0,0,0,192,6,2,700,0.0,0.97
pretrain_0_double-seed0,0,0,192,6,2,800,0.0,0.995
pretrain_0_double-seed1,0,1,192,6,2,0,0.0,0.165
pretrain_0_double-seed1,0,1,192,6,2,100,0.0,0.28
pretrain_0_double-seed1,0,1,192,6,2,200,0.0,0.46
pretrain_0_double-seed1,0,1,192,6,2,300,0.0,0.625
pretrain_0_double-seed1,0,1,192,6,2,400,0.0,0.825
pretrain_0_double-seed1,0,1,192,6,2,500,0.0,0.915
pretrain_0_double-seed1,0,1,192,6,2,600,0.0,0.95
pretrain_0_double-seed1,0,1,192,6,2,700,0.0,0.975
pretrain_0_double-seed1,0,1,192,6,2,800,0.0,0.975
pretrain_0_double-seed1,0,1,192,6,2,900,0.0,0.995
pretrain_0_double-seed2,0,2,192,6,2,0,0.0,0.165
pretrain_0_double-seed2,0,2,192,6,2,100,0.0,0.29
pretrain_0_double-seed2,0,2,192,6,2,200,0.0,0.355
pretrain_0_double-seed2,0,2,192,6,2,300,0.0,0.32
pretrain_0_double-seed2,0,2,192,6,2,400,0.0,0.525
pretrain_0_double-seed2,0,2,192,6,2,500,0.0,0.655
pretrain_0_double-seed2,0,2,192,6,2,600,0.0,0.875
pretrain_0_double-seed2,0,2,192,6,2,700,0.0,0.965
pretrain_0_double-seed2,0,2,192,6,2,800,0.0,0.965
pretrain_0_double-seed2,0,2,192,6,2,900,0.0,0.975
pretrain_0_double-seed2,0,2,192,6,2,1000,0.0,0.975
pretrain_0_double-seed2,0,2,192,6,2,1100,0.0,0.975
pretrain_0_double-seed2,0,2,192,6,2,1200,0.0,0.98
pretrain_0_double-seed2,0,2,192,6,2,1300,0.0,1.0
pretrain_0_double-seed3,0,3,192,6,2,0,0.0,0.165
pretrain_0_double-seed3,0,3,192,6,2,100,0.0,0.23
pretrain_0_double-seed3,0,3,192,6,2,200,0.0,0.345
pretrain_0_double-seed3,0,3,192,6,2,300,0.0,0.53
pretrain_0_double-seed3,0,3,192,6,2,400,0.0,0.665
pretrain_0_double-seed3,0,3,192,6,2,500,0.0,0.805
pretrain_0_double-seed3,0,3,192,6,2,600,0.0,0.94
pretrain_0_double-seed3,0,3,192,6,2,700,0.0,0.96
pretrain_0_double-seed3,0,3,192,6,2,800,0.0,0.975
pretrain_0_double-seed3,0,3,192,6,2,900,0.0,0.98
pretrain_0_double-seed3,0,3,192,6,2,1000,0.0,0.97
pretrain_0_double-seed3,0,3,192,6,2,1100,0.0,0.995
pretrain_0_double-seed4,0,4,192,6,2,0,0.0,0.12
pretrain_0_double-seed4,0,4,192,6,2,100,0.0,0.15
pretrain_0_double-seed4,0,4,192,6,2,200,0.0,0.155
pretrain_0_double-seed4,0,4,192,6,2,300,0.0,0.2
pretrain_0_double-seed4,0,4,192,6,2,400,0.0,0.21
pretrain_0_double-seed4,0,4,192,6,2,500,0.0,0.3
pretrain_0_double-seed4,0,4,192,6,2,600,0.0,0.305
pretrain_0_double-seed4,0,4,192,6,2,700,0.0,0.46
pretrain_0_double-seed4,0,4,192,6,2,800,0.0,0.545
pretrain_0_double-seed4,0,4,192,6,2,900,0.0,0.745
pretrain_0_double-seed4,0,4,192,6,2,1000,0.0,0.875
pretrain_0_double-seed4,0,4,192,6,2,1100,0.0,0.945
pretrain_0_double-seed4,0,4,192,6,2,1200,0.0,0.965
pretrain_0_double-seed4,0,4,192,6,2,1300,0.0,0.96
pretrain_0_double-seed4,0,4,192,6,2,1400,0.0,1.0
pretrain_20_double-seed0,20,0,192,6,2,0,0.0,0.08
pretrain_20_double-seed0,20,0,192,6,2,100,0.0,0.17
pretrain_20_double-seed0,20,0,192,6,2,200,0.0,0.175
pretrain_20_double-seed0,20,0,192,6,2,300,0.0,0.475
pretrain_20_double-seed0,20,0,192,6,2,400,0.0,0.705
pretrain_20_double-seed0,20,0,192,6,2,500,0.0,0.925
pretrain_20_double-seed0,20,0,192,6,2,600,0.0,0.935
pretrain_20_double-seed0,20,0,192,6,2,700,0.0,0.965
pretrain_20_double-seed0,20,0,192,6,2,800,0.0,0.965
pretrain_20_double-seed0,20,0,192,6,2,900,0.0,0.93
pretrain_20_double-seed0,20,0,192,6,2,1000,0.0,0.955
pretrain_20_double-seed0,20,0,192,6,2,1100,0.0,0.985
pretrain_20_double-seed0,20,0,192,6,2,1200,0.0,0.995
pretrain_20_double-seed1,20,1,192,6,2,0,0.0,0.095
pretrain_20_double-seed1,20,1,192,6,2,100,0.0,0.13
pretrain_20_double-seed1,20,1,192,6,2,200,0.0,0.24
pretrain_20_double-seed1,20,1,192,6,2,300,0.0,0.54
pretrain_20_double-seed1,20,1,192,6,2,400,0.0,0.745
pretrain_20_double-seed1,20,1,192,6,2,500,0.0,0.87
pretrain_20_double-seed1,20,1,192,6,2,600,0.0,0.925
pretrain_20_double-seed1,20,1,192,6,2,700,0.0,0.95
pretrain_20_double-seed1,20,1,192,6,2,800,0.0,0.97
pretrain_20_double-seed1,20,1,192,6,2,900,0.0,0.955
pretrain_20_double-seed1,20,1,192,6,2,1000,0.0,0.985
pretrain_20_double-seed1,20,1,192,6,2,1100,0.0,0.95
pretrain_20_double-seed1,20,1,192,6,2,1200,0.0,0.975
pretrain_20_double-seed1,20,1,192,6,2,1300,0.0,0.985
pretrain_20_double-seed1,20,1,192,6,2,1400,0.0,0.995
pretrain_20_double-seed2,20,2,192,6,2,0,0.0,0.06
pretrain_20_double-seed2,20,2,192,6,2,100,0.0,0.185
pretrain_20_double-seed2,20,2,192,6,2,200,0.0,0.39
pretrain_20_double-seed2,20,2,192,6,2,300,0.0,0.67
pretrain_20_double-seed2,20,2,192,6,2,400,0.0,0.88
pretrain_20_double-seed2,20,2,192,6,2,500,0.0,0.865
pretrain_20_double-seed2,20,2,192,6,2,600,0.0,0.975
pretrain_20_double-seed2,20,2,192,6,2,700,0.0,0.975
pretrain_20_double-seed2,20,2,192,6,2,800,0.0,0.985
pretrain_20_double-seed2,20,2,192,6,2,900,0.0,0.985
pretrain_20_double-seed2,20,2,192,6,2,1000,0.0,0.99
pretrain_20_double-seed3,20,3,192,6,2,0,0.0,0.095
pretrain_20_double-seed3,20,3,192,6,2,100,0.0,0.12
pretrain_20_double-seed3,20,3,192,6,2,200,0.0,0.22
pretrain_20_double-seed3,20,3,192,6,2,300,0.0,0.375
pretrain_20_double-seed3,20,3,192,6,2,400,0.0,0.76
pretrain_20_double-seed3,20,3,192,6,2,500,0.0,0.88
pretrain_20_double-seed3,20,3,192,6,2,600,0.0,0.94
pretrain_20_double-seed3,20,3,192,6,2,700,0.0,0.98
pretrain_20_double-seed3,20,3,192,6,2,800,0.0,0.955
pretrain_20_double-seed3,20,3,192,6,2,900,0.0,0.975
pretrain_20_double-seed3,20,3,192,6,2,1000,0.0,0.985
pretrain_20_double-seed3,20,3,192,6,2,1100,0.0,0.985
pretrain_20_double-seed3,20,3,192,6,2,1200,0.0,0.96
pretrain_20_double-seed3,20,3,192,6,2,1300,0.0,0.99
pretrain_20_double-seed4,20,4,192,6,2,0,0.0,0.13
pretrain_20_double-seed4,20,4,192,6,2,100,0.0,0.14
pretrain_20_double-seed4,20,4,192,6,2,200,0.0,0.24
pretrain_20_double-seed4,20,4,192,6,2,300,0.0,0.465
pretrain_20_double-seed4,20,4,192,6,2,400,0.0,0.655
pretrain_20_double-seed4,20,4,192,6,2,500,0.0,0.895
pretrain_20_double-seed4,20,4,192,6,2,600,0.0,0.935
pretrain_20_double-seed4,20,4,192,6,2,700,0.0,0.96
pretrain_20_double-seed4,20,4,192,6,2,800,0.0,0.955
pretrain_20_double-seed4,20,4,192,6,2,900,0.0,0.98
pretrain_20_double-seed4,20,4,192,6,2,1000,0.0,0.97
pretrain_20_double-seed4,20,4,192,6,2,1100,0.0,0.965
pretrain_20_double-seed4,20,4,192,6,2,1200,0.0,0.94
pretrain_20_double-seed4,20,4,192,6,2,1300,0.0,0.97
pretrain_20_double-seed4,20,4,192,6,2,1400,0.0,0.97
pretrain_20_double-seed4,20,4,192,6,2,1500,0.0,0.99
