run_name,pretrain_steps,seed,model_hidden_dim,model_heads,model_depth,episode,win_rate,draw_rate
pretrain_0_half-seed0,0,0,96,3,2,0,0.0,0.215
pretrain_0_half-seed0,0,0,96,3,2,100,0.0,0.265
pretrain_0_half-seed0,0,0,96,3,2,200,0.0,0.255
pretrain_0_half-seed0,0,0,96,3,2,300,0.0,0.365
pretrain_0_half-seed0,0,0,96,3,2,400,0.0,0.455
pretrain_0_half-seed0,0,0,96,3,2,500,0.0,0.645
pretrain_0_half-seed0,0,0,96,3,2,600,0.0,0.745
pretrain_0_half-seed0,0,0,96,3,2,700,0.0,0.885
pretrain_0_half-seed0,0,0,96,3,2,800,0.0,0.89
pretrain_0_half-seed0,0,0,96,3,2,900,0.0,0.92
pretrain_0_half-seed0,0,0,96,3,2,1000,0.0,0.945
pretrain_0_half-seed0,0,0,96,3,2,1100,0.0,0.945
pretrain_0_half-seed0,0,0,96,3,2,1200,0.0,0.955
pretrain_0_half-seed0,0,0,96,3,2,1300,0.0,0.93
pretrain_0_half-seed0,0,0,96,3,2,1400,0.0,0.95
pretrain_0_half-seed0,0,0,96,3,2,1500,0.0,0.94
pretrain_0_half-seed0,0,0,96,3,2,1600,0.0,0.945
pretrain_0_half-seed0,0,0,96,3,2,1700,0.0,0.98
pretrain_0_half-seed0,0,0,96,3,2,1800,0.0,0.99
pretrain_0_half-seed1,0,1,96,3,2,0,0.0,0.22
pretrain_0_half-seed1,0,1,96,3,2,100,0.0,0.215
pretrain_0_half-seed1,0,1,96,3,2,200,0.0,0.265
pretrain_0_half-seed1,0,1,96,3,2,300,0.0,0.31
pretrain_0_half-seed1,0,1,96,3,2,400,0.0,0.38
pretrain_0_half-seed1,0,1,96,3,2,500,0.0,0.51
pretrain_0_half-seed1,0,1,96,3,2,600,0.0,0.585
pretrain_0_half-seed1,0,1,96,3,2,700,0.0,0.78
pretrain_0_half-seed1,0,1,96,3,2,800,0.0,0.815
pretrain_0_half-seed1,0,1,96,3,2,900,0.0,0.865
pretrain_0_half-seed1,0,1,96,3,2,1000,0.0,0.85
pretrain_0_half-seed1,0,1,96,3,2,1100,0.0,0.895
pretrain_0_half-seed1,0,1,96,3,2,1200,0.0,0.9
pretrain_0_half-seed1,0,1,96,3,2,1300,0.0,0.9
pretrain_0_half-seed1,0,1,96,3,2,1400,0.0,0.925
pretrain_0_half-seed1,0,1,96,3,2,1500,0.0,0.94
pretrain_0_half-seed1,0,1,96,3,2,1600,0.0,0.95
pretrain_0_half-seed1,0,1,96,3,2,1700,0.0,0.925
pretrain_0_half-seed1,0,1,96,3,2,1800,0.0,0.975
pretrain_0_half-seed1,0,1,96,3,2,1900,0.0,0.965
pretrain_0_half-seed1,0,1,96,3,2,2000,0.0,0.955
pretrain_0_half-seed1,0,1,96,3,2,2100,0.0,0.965
pretrain_0_half-seed1,0,1,96,3,2,2200,0.0,0.94
pretrain_0_half-seed1,0,1,96,3,2,2300,0.0,0.97
pretrain_0_half-seed1,0,1,96,3,2,2400,0.0,0.945
pretrain_0_half-seed1,0,1,96,3,2,2500,0.0,0.955
pretrain_0_half-seed1,0,1,96,3,2,2600,0.0,0.95
pretrain_0_half-seed1,0,1,96,3,2,2700,0.0,0.975
pretrain_0_half-seed1,0,1,96,3,2,2800,0.0,0.98
pretrain_0_half-seed1,0,1,96,3,2,2900,0.0,0.975
pretrain_0_half-seed1,0,1,96,3,2,3000,0.0,0.985
pretrain_0_half-seed1,0,1,96,3,2,3100,0.0,0.985
pretrain_0_half-seed1,0,1,96,3,2,3200,0.0,1.0
pretrain_0_half-seed2,0,2,96,3,2,0,0.0,0.205
pretrain_0_half-seed2,0,2,96,3,2,100,0.0,0.235
pretrain_0_half-seed2,0,2,96,3,2,200,0.0,0.235
pretrain_0_half-seed2,0,2,96,3,2,300,0.0,0.255
pretrain_0_half-seed2,0,2,96,3,2,400,0.0,0.445
pretrain_0_half-seed2,0,2,96,3,2,500,0.0,0.525
pretrain_0_half-seed2,0,2,96,3,2,600,0.0,0.57
pretrain_0_half-seed2,0,2,96,3,2,700,0.0,0.665
pretrain_0_half-seed2,0,2,96,3,2,800,0.0,0.795
pretrain_0_half-seed2,0,2,96,3,2,900,0.0,0.805
pretrain_0_half-seed2,0,2,96,3,2,1000,0.0,0.87
pretrain_0_half-seed2,0,2,96,3,2,1100,0.0,0.925
pretrain_0_half-seed2,0,2,96,3,2,1200,0.0,0.87
pretrain_0_half-seed2,0,2,96,3,2,1300,0.0,0.915
pretrain_0_half-seed2,0,2,96,3,2,1400,0.0,0.95
pretrain_0_half-seed2,0,2,96,3,2,1500,0.0,0.965
pretrain_0_half-seed2,0,2,96,3,2,1600,0.0,0.95
pretrain_0_half-seed2,0,2,96,3,2,1700,0.0,0.945
pretrain_0_half-seed2,0,2,96,3,2,1800,0.0,0.93
pretrain_0_half-seed2,0,2,96,3,2,1900,0.0,0.955
pretrain_0_half-seed2,0,2,96,3,2,2000,0.0,0.995
pretrain_0_half-seed3,0,3,96,3,2,0,0.0,0.205
pretrain_0_half-seed3,0,3,96,3,2,100,0.0,0.26
pretrain_0_half-seed3,0,3,96,3,2,200,0.0,0.265
pretrain_0_half-seed3,0,3,96,3,2,300,0.0,0.33
pretrain_0_half-seed3,0,3,96,3,2,400,0.0,0.495
pretrain_0_half-seed3,0,3,96,3,2,500,0.0,0.625
pretrain_0_half-seed3,0,3,96,3,2,600,0.0,0.735
pretrain_0_half-seed3,0,3,96,3,2,700,0.0,0.825
pretrain_0_half-seed3,0,3,96,3,2,800,0.0,0.865
pretrain_0_half-seed3,0,3,96,3,2,900,0.0,0.91
pretrain_0_half-seed3,0,3,96,3,2,1000,0.0,0.905
pretrain_0_half-seed3,0,3,96,3,2,1100,0.0,0.925
