episode,win_rate,draw_rate
0,0.0,0.22
100,0.0,0.215
200,0.0,0.265
300,0.0,0.31
400,0.0,0.38
500,0.0,0.51
600,0.0,0.585
700,0.0,0.78
800,0.0,0.815
900,0.0,0.865
1000,0.0,0.85
1100,0.0,0.895
1200,0.0,0.9
1300,0.0,0.9
1400,0.0,0.925
1500,0.0,0.94
1600,0.0,0.95
1700,0.0,0.925
1800,0.0,0.975
1900,0.0,0.965
2000,0.0,0.955
2100,0.0,0.965
2200,0.0,0.94
2300,0.0,0.97
2400,0.0,0.945
2500,0.0,0.955
2600,0.0,0.95
2700,0.0,0.975
2800,0.0,0.98
2900,0.0,0.975
3000,0.0,0.985
3100,0.0,0.985
3200,0.0,1.0
